date,location,flavor,size,qty,defecttype,cavitynum,jobnum,shift
9/6/14,1,Protein,15.2,22,2,,167925,2
9/6/14,1,Protein,15.2,4,7,,167925,2
9/6/14,1,Reg Orange,15.2,6,2,,167840,2
9/6/14,1,Reg Orange,15.2,18,7,,167840,2
9/6/14,1,Org Carrot Apple,15.2,7,7,,167846,2
9/8/14,1,Org Apple,64,6,2,,168106,2
9/8/14,2,Org Apple,64,1,5,,168106,2
9/8/14,3,Smoothie Greens,15.2,4,7,,168131,2
9/8/14,4,Sweet Greens and Lemon,15.2,46,2,,168074,2
9/8/14,1,Apple Berry,15.2,16,2,,168158,2
9/8/14,2,Super Green,15.2,5,2,,168057,2
9/8/14,4,Super Green,15.2,8,1,,168057,2
9/8/14,4,Super Green,15.2,6,7,,168057,2
9/8/14,4,Super Green,15.2,2,2,,168057,2
9/8/14,4,Smoothie Greens,15.2,3,6,,168131,2
9/8/14,4,Smoothie Greens,15.2,3,1,,168131,2
9/8/14,4,Sweet Greens and Lemon,15.2,4,1,,168074,2
9/8/14,3,Sweet Greens and Lemon,15.2,2,7,,168074,2
9/8/14,2,Super Green,15.2,1,7,,168057,2
9/8/14,2,Super Green,15.2,102,7,,168057,2
9/8/14,2,Sweet Greens and Lemon,15.2,65,2,,168074,2
9/8/14,2,Reg Orange,15.2,1,3,27,168064,2
9/8/14,2,Smoothie Greens,15.2,25,7,,168131,2
9/8/14,2,Smoothie Greens,15.2,7,1,,168131,2
9/8/14,2,Smoothie Greens,15.2,1,3,,168131,2
9/8/14,2,Smoothie Greens,15.2,1,3,,168131,2
9/8/14,2,Super Green,15.2,35,7,,168057,2
9/8/14,2,Super Green,15.2,7,2,,168057,2
9/8/14,2,Super Green,15.2,6,1,,168057,2
9/8/14,2,Super Green,15.2,1,3,,168057,2
9/8/14,2,Super Green,15.2,1,3,,168057,2
9/8/14,2,Super Green,15.2,1,3,,168057,2
9/8/14,2,Org Apple,64,5,7,,168106,2
9/8/14,2,Org Apple,64,1,6,,168106,2
9/8/14,2,Org Strawberry Lemonade,15.2,1,7,26,168045,2
9/8/14,2,Org Strawberry Lemonade,15.2,1,7,22,168045,2
9/8/14,2,Reg Orange,15.2,3,7,,168064,2
9/8/14,2,Reg Orange,32,12,7,,168065,2
9/8/14,2,Reg Orange,64,1,7,,168188,2
9/8/14,2,Sweet Greens and Lemon,15.2,24,7,,168074,2
9/8/14,3,Sweet Greens Smoothie base,64,2,8,,168068,2
9/8/14,3,Sweet Greens Smoothie base,64,1,2,,168068,2
9/8/14,3,Org Orange,64,5,7,,168317,2
9/8/14,3,Org Orange,64,7,2,,168317,2
9/8/14,3,Org Lemonade,64,1,7,,168037,2
9/8/14,3,Org Orange,32,3,7,,168316,2
9/8/14,3,Org Strawberry Lemonade,15.2,1,8,24,168045,2
9/8/14,3,Org Strawberry Lemonade,15.2,1,8,22,168045,2
9/8/14,3,Org Lemonade,64,1,1,,168037,2
9/8/14,3,Org Lemonade,64,1,1,,168037,2
